Column name,Description,Format,Example
Country,Country code, ISO 3166-1 alpha-3 codes,POL
year,Year ,AAAA,2019
vessel_id,Vessel id,,AAA-1
vessel_length,Vessel length ,meters,12.01
trip_id,Trip identifier,,POLAAA1201806100325
haul_id,Haul identifier. Optional.,,POLAAA1201806100325_1
fishing_day,Fishing date ,DD-MM-AAAA,10-06-18
area,FAO area code. To be used with the area reference list to identify the RCG.,,27.3.d.25
ices_rectangle,ICES rectangle code. Optional outside ICES area.,,37G5
gear,Gear code ,FAO ISSCFG code,OTB
mesh,Mesh size ,integer,100
selection,Selection panel code. A combination of selection panel code number and selection panel mesh size.,"0: No selection device, 1: Selection panel, 2: Grid, 3: T90 ",1_120
registered_target_assemblage,If the target assemblage code is registered in the logbooks it can be entered here. The field is optional,,DEF
FAO_species,Species code ,FAO ASFIS Code,COD
Metier_level_6,Should not be filled in. The resulting métier will be inserted into this column.,, 
measure,If the target assemblage calculation should be based on weight or value.,,weight or value
KG,Kg weight of landing,,Precision: 2 digits after the decimal
EUR,Value of landing in euro,,Precision: 2 digits after the decimal
